id,score,review
2710,Negative,su bazli oldugu icin çok çok nemini hissetmiyorsunuz beğendim ama çok çok güzel diyemem
2711,Positive,henüz etkisini farketmedim fakat söylenildiği kadar ağır kokmuyor bence
2712,Neutral,Göründüğünden daha küçük geldi. Umarım işe yarar.
2713,Negative,hiç bir faydasını görmedim :((
2714,Positive,şuana kadar kullandığım en güzel ürün hiç dusunmedeen alın.
2715,Positive,birkaç aydır kullanıyorum gayet memnunum cildimi toparladı.
2716,Negative,"Ürün ambalajında türkçe açıklama yok, almayı düşünenler iyi araştırsın. Doğal saçıma uyguladım ve nerdeyse 1 saat beklettim sonuç sadece 1 ton açıldı ve türüncu bir renk oldu!:( tam bir hayal kırıklığı"
2717,Negative,"Süngerler gayet yumuşak fakat tüm fondöteni içine çekiyor, gözenekler büyük ve bambaşka renkler gelmişti. Tavsiye etmiyorum iyi bir sünger almak isteyen almasın. Orta bile sayılmaz."
2718,Positive,her sabah gözlerim şiş uyanırdım.. o kadar iyi geliyor ki çok memnun kaldım
2719,Positive,"Çok yararlı bir ürün özellikle fırçanın arka kısmı siyah noktaları gerçekten götürüyor,ilk kullanımda etkisini gördüm 👌🏻"
2720,Negative,"aldığım en kötü ürün! Bu ürünün işe yaraması için metal manyetik toplar olması gerekiyor, oysaki bu asla metal değil (plastik karışımlı bir madde) asla işe yaramyacak saçma bir ürün"
2721,Neutral,ürün suya dayanıklı rimelleri iyi bir şekilde çıkartıyor fakat gözlerimi yakıyor bayağı ve yağlı his bırakıyor
2722,Positive,Gün boyu etkisi sürüyor. Kokusu çok güzel saçlarımı yumuşacık yaptı. Tavsiye ederim.
2723,Neutral,"Ürün elime yeni ulaştı. Etkisini bilmiyorum; ama kokusu yorumlarda söylenildiği gibi iğrenç, nefesimi kesti."
2724,Neutral,"Deniyorum ama krem soyuluyor, yüzde topaklanıyor gibi geldi bana. Günlük nemlendirme için ideal ve kokusu güzel"
2725,Neutral,"İçeriğinde alkol olduğunu bilmiyordum ama fena bir ürün değil güzel temizliyor, yağlı ciltler için uygun."
2726,Neutral,Cosrx en güvendiğim markalardan biridir. Ucu çıkmış sivilceler için birebir hatta kistik aknelerimin üstüne koyduğumda onların da uç çıkartmasına yardımcı oluyor. Tek sıkıntısı cildim çok hassas olmamasına rağmen değiştirmeyi unutursam sivilce bölgemde inanılmaz bir kızarıklık yapıyor ve birkaç gün boyunca kırmızı-mor sivilce lekesi gibi izle dolanıyorum.
2727,Negative,Ürünün kendisi güzel olmasına rağmen yarısı akmıştı iade etmek zorunda kaldım
2728,Negative,Önermem jiletin şekil degistirmiş hali
2729,Neutral,kokusu beklediğim gibi değil.
2730,Neutral,Normal bir kremden farkı yok
2731,Neutral,Beklediğimden aşırı derecede küçük geldi ama renk pigmentleri tatlı
2732,Negative,2 günde başlığı bozuldu ve şişe üzerindeki yazı silindi.
2733,Neutral,Kokusu çok güzel ama saçımı bayağı sertleştirdi. Yeni boyanmış gibi yaptı
2734,Negative,ürün kumasi çok kötü kalitesiz sert saten yanlarinin dikisi sokulmus geldi beğenmedim
2735,Negative,Küçük üç tarafı kancaları taşı tutmuyor😔
2736,Neutral,Paketleme güzel. Saçımı istediğim gibi düz yapmadı. yine kıvırcık kaldı. Daha yüksek ısılı bir düzleştirici ile tekrar deneyeceğim
2737,Negative,Normalde kullandığım gibi değildi tavsiye etmem 👎
2738,Neutral,on beş gündür kullanıyorum daha işe yaramadi
2739,Positive,2. kullanımda tirnaklarimin sertleştiğini hissettim. kokusu rahatsız edici değil. vazelin gibi bir yapışi var
2740,Neutral,Ürün maalesef ki istediğimden gelmemişti kullanıyorum biraz yüzü tahriş ediyor ama sonra geçiyor tavsiye eder miyim? Kararsızım açıkçası...
2741,Negative,göründüğü gibi ve söylendiği gibi gelmedi alicisi bir kez daha dusunsun derim.
2742,Negative,iki aydir kullaniyorum ufacik bir yararini görmedim.hayal kirikligi...
2743,Positive,fiyati uygun
2744,Negative,Kokusu güzel değil
2745,Positive,Beğendiğim bir ürün çok güzel kokuyor bir haftadır kullanıyorum ve saçlarım canlandı
2746,Positive,İlk denemede gözle görülür fark çok memnun kaldım kesinlikle tavsiye ediyorum
2747,Negative,çok güzel ama poturleniyor fazlasıyla almayın
2748,Negative,koruyucu bantı yok içi kupkuru
2749,Positive,doğum öncesinde kullanıma başlamıştım. doğum sonrası hala kullanmaya devam ediyorum ve herkesin yaşadığı saç dökülmesini hiç olmadı kesinlikle tavsiye ediyorum
2750,Neutral,işe yarıyor diyemem
2751,Positive,Ürünü kullanmaya başladıktan sonra yüzümdeki olumlu yönde farkı bariz bir şekilde görebiliyorum. Gayet güzel 👍
2752,Negative,kumasi çok kötü:( yakan kumaslardan ve rahat değil hiç malesef beğenmedim
2753,Negative,"Başta iyiydi güzel temizliyor diye seviyordum ama daha 2 ay oldu makina bozuldu. kendi kendine çalışıyor durmuyor, gece gece çalışıyor takır tukur aşırı sinir bozucu. Bu kadar kısa sürede bozulacagini bilseydim almazdim kesinlikle!"
2754,Negative,hiç sevmedim çok aşırı büyük
2755,Negative,Kokusu Çok etkisiz. Hiç vanilya kokmuyor. Vanilya dışında her şey kokuyor. Tavsiye etmiyorum.
2756,Neutral,Mevsim etkiside olabilir fakat dökülmeyi azaltmadı
2757,Neutral,Ürünü aldım ve diyeceğim şu ki kuru ve karma ciltliler uzak durmalı. Aşırı kurutuyor ve pullanma yapıyor bir süre sonra ama yağlı bir cilde sahip olanların bayıla bayıla kullanacağını düşündüğüm bir ürün.
2758,Positive,Çok memnun kaldım sivilce izlerini geçiriyor ve bereketli asla bitmiyor
2759,Positive,Koyu pembesini göndermişler ama ürünü beğendim fark ettiriyor bikaç uygulamada bile...işlevine göre fiyatı çok uygun
2760,Neutral,Kokusu güzel ama parfümün birazı sıkılmış gibi duruyordu.. o yüzden pek memnun kalmadım.. puanı kokusu için vericem..
2761,Negative,beden tam uyumlu ancak kalitesiz naylonumsu gibi iade 👎
2762,Negative,Yuvarlak kısmı çok kalın 5 cm vardır kalınlığı
2763,Positive,Kokusu çok güzel yıllardır kullanıyorum:)
2764,Neutral,güzel kokuyor tavsiye ederim
2765,Negative,Gayet güzel bir ürün. Hem kıyafetlerden hem de elden lekesi kolay cıkıyor.
2766,Positive,Vazgeçemediğim eskidikçe güzeleşen koku.. ❤️
2767,Negative,Faydasını göremedim. Beğenmedim!
2768,Neutral,fiyatı kadar etkisi olan bir ürün idare eder
2769,Positive,Hızlı kargo teşekkürler
2770,Negative,Sıfırrrrrrrrrrrr
2771,Neutral,pembesi daha iyi
2772,Positive,Bayıldım indirimden almıştım harika temizliyor
2773,Neutral,Daha öncedende kullanıyordum ama bu yeni aldığım bir farklı geldi. Önceki şişemde duruyo onun kokusu ve akışkanlığı çok güzeldi saçta ağırlık yapmıyodu bu yeni halinin kokusunu da sevmedim saça etkisini sevmedim çok ağırlaştırdı
2774,Neutral,Hyaluronic acid cildi oldukça güzel nemlendiriyor lakin C vitamini hiçbir işe yaramıyor tek artısı eğer sayılırsa güzel bir kokusu var.
2775,Negative,Görseldekiyle gönderilenin bir alakası yok makyaj süngeri değil çok kötü
2776,Neutral,Güzel bir ürün fazla nemlendiriyor sanki yağlı bir yapısı var
2777,Neutral,Ürüne bayıldım fakat çok küçük boyutu keşke biraz büyük olsa ama bb krem olarak çok güzel 🙂
2778,Negative,Vaat ettiği siyah noktaların çözümü için başarısız bir ürün. Ve çok ağır kokuyor. Yüzü kurutuyor. Gereksiz.
2779,Negative,"arkası çok ince, beğenmedim, iade ettim"
2780,Positive,yorumlara bakıp aldım bundan sonra bu ürün dışında kullanmam
2781,Negative,Törpüsü işe yaramaz. Zaten onun için almıştım pişman oldum.
2782,Neutral,çok güzeldi
2783,Neutral,Yağlı bir cildim var yüzüm için kullandığımda beyaz yağ bezeleri yapıyor maalesef
2784,Neutral,Çok güzel hemem saçları acıyor fakat saçlarımı çok döküyor
2785,Negative,hiç güzel değil tavsiye etmiyorum
2786,Neutral,yeni geldi el için ideal boyda firçası  da yumuşak
2787,Negative,Ürünün kolları fotoğraftaki gibi dökümlü durmuyor kesinlikle. Kumaşı bildiğiniz polyester ve inanılmaz iç gösteriyor. Kalıbı da hoş durmuyor iade edeceğim
2788,Negative,Aşırı dandik bir şey. İşe yarayacağından şüpheliyim.
2789,Positive,"Bu fiyata bu kalitede bir ürün çok iyi, saçlarınızı yumuşacık yapıyor. Pahalı ürünlere hiç gerek yok bence..."
2790,Positive,"Bioderma ürünlerinden çok memnunum , harika bir temizleyici ve uzun süre gidiyor"
2791,Negative,Yüzümde inanılmaz yanma ve batma yaptı. Komedanlar oluşturdu çöpe gitti ürün
2792,Neutral,evet kokusu çok hoş ama sıkarken kıyafete denk gelirse vay haline bembeyaz oluyor bir daha tercih etmem
2793,Negative,kokusu güzel ama onun dışında hiç bir etkisini göremedim. Hatta tüyler kalınlaştı
2794,Negative,Çok yağlı bir cildim var. açıkçası etkisini pek görmedim..
2795,Positive,çok güzel bir ürün ipek gibi yumuşacık yapiyo saçları hele ürünün kokusu o apayrı güzel harika bir ürün mutlaka deneyin derim
2796,Neutral,Normal çok etkili değil
2797,Neutral,Memnunum fiyatı uygun
2798,Neutral,ciltte parlama yapiyor ozellikle yuzden çok hızlı emilmiyor. gunluk kullanım icin çok uygun bur ürün değil
2799,Neutral,kokusu falan yok ama yapısı güzel
2800,Neutral,Esmer ve bugday tenli kadınlara gitmeyen bir renk tam rengi gül kurusundan biraz daha koyu soft beğenmedim flormara benzetmişler rengini ama sonuc çok kötü
2801,Negative,s beden diye aldım sanki xl gibi çok büyük
2802,Neutral,Eh Ürünü çok fazla olumlu yorum sonucunda almıştım fakat 3.yıkamada etki etti ve çok belli belirsiz.Tam olarak vaat ettiği sonucu gösterdiğini düşünmüyorum ve saç kremimle kullanmama rağmen saçımı oldukça yıprattı.
2803,Negative,Çok kötü bir pijama. Penye ve tiril tiril duracak zannederken hüsrana uğradım. Pazardan alsaydım daha mutlu ederdi beni. Esneme payı sıfır. Kesinlikle önermiyorum.
2804,Positive,Fondöten kullanmaya ihtiyacınız kalmıyor çok kullanışlı bir bb krem
2805,Neutral,Dökülmeyi gerçekten azalttı ancak yağlanmaya sebep oluyor
2806,Positive,Aldığım gibi denedim. Harika ötesi.yüzümü tertemiz hissediyorum.tahriş etmeden temizledi ve yumuşacık yaptı.tavsiye ediyorum.
2807,Negative,Renk berbat yağlı boya gibi
2808,Positive,İndirimdeyken kaçırmayın derim karma cildime iyi geldi
2809,Positive,Uygun fiyat güzel bir ürün
2810,Neutral,la roche posayın kalitesine dicek yok. daha sivilcelerime etki etmedi ama kullanıyorum.  olumlu sonuç alınca tekrar yorum yazicam. yanında bioderma nin küçük bir kremini hediye yollamışlar ve onu çok beğendim. Çok teşekkür ederim çok nazik bir davranış ❤😊1hafta  kullandim ve sivilceleri yok etmek yerine daha çok cikardi ve suan kullanmaya korkuyorum
2811,Positive,Roaccutane kullananların kurtarıcısı dudaklarımı yumuşacık yapıyor. Ayrıca yanında gönderdiğiniz hediye için de teşekkür ederim.
2812,Negative,Ürün renk vermiyor
2813,Neutral,Kokusu bana biraz  ağır geldi .kötü değil ama tavsiye ederim diyemem
2814,Negative,Saçlarımı döktü ve kepek yaptı
2815,Negative,ürün boyutu çok küçük ve kapatılıcığı yok bb krem gib i
2816,Negative,o kadar kötü ki yorumlara aldanıp aldım tüylenme yaptı çekti
2817,Positive,Yıllardır kullandığım bir ürün hassas ve yağlı ciltlere öneririm yüzde kuruluk yapmıyor
2818,Positive,Henüz kullanamadım fakat paketleme çok iyiydi. Kargo da olabildiğince hızlıydı.Gönderici firmaya hassasiyeti için çok teşekkürler🙏
2819,Neutral,Vakumu kuvvetli değil
2820,Negative,Saç dökülmesi için almıştım spreyiyle birlikte ama saçı keçe gibi sert yapıyor ve dökülmeyi azaltmıyor iki kutu almıştım bitirmek için kullandım bir daha almam
2821,Negative,Ayy çok sevdim bunu ünlüler bile bunu tercih etmiş
2822,Negative,"ürün yamuk geldi,birleşme noktaları çok kötü bir görüntü sergiliyor. beklediğim gibi bir ürünle karşılaşmadım"
2823,Positive,Hayatımda kullandığım en güzel krem. Yağlı bir yapısı yok sürer sürmez cilt kremi emiyor ve yumuşacık bir his veriyor. Tavsiye ederim
2824,Negative,Hiç beklediğim gibi çıkmadı kokusu kalıcı değil deodorant mı aldım parfüm mü aldım anlamadım
2825,Neutral,Normal Dudakta yapış yapış kalıyor
2826,Negative,Ürün zamanında geçmedi. Berbat bir firma.
2827,Neutral,Pek etkili değil
2828,Negative,ürünü beğenmedim çok basit duruyor
2829,Neutral,Bazen sivilcelenme yapti ama nemlendirmesi gayet güzel
2830,Positive,"Çok memnunum tam olması gerektiği gibi ne fazla ne az , foreo lara o kadar para vermeye gerek yok"
2831,Negative,Maalesef hiç bir işe yaramıyor beğenmedim
2832,Positive,beklediğimden büyük geldi ferahlatıcı ve çok iyi nemlendiriyor fiyatına göre de uygun düşünmeden alın derim
2833,Negative,orjinalliğinden şüpheliyim 👎🏻
2834,Neutral,"Yumuşak bir sünger ancak ürünün 3te 2ini emiyo bu açıdan kötü, fp açısından alınabilir."
2835,Negative,Nasıl waterproof anlamadım göz kapağıma yapışıyor akıyor
2836,Neutral,Gayet iyi
2837,Positive,Sevdiğim bir ruj paketleme iyi uygun fiyatla aldım.
2838,Negative,ürün bir işe yaramıyor vakum gücü 0
2839,Negative,"Kalitesini beğenmedim, geri iade maalesef"
2840,Negative,Diğer Warm almond renginden nasıl olduğunu anlayamadığım bir şekilde daha koyu renk çıktı ürün maalesef istediğim etkiyi alamadım
2841,Positive,ürünü şu anda duştan çıkınca  kullandım.firca ve silikon kısmı iyi ve cildim nefes aldı  güzel sağlam ürün gibi fiyat  ortalama  iyi  boyut biraz  küçük .
2842,Neutral,1 tanesini kullandım hiç bir etki göremedim. bir kac tane daha kullanıp güncelleme yaparim.
2843,Negative,Ürün çok kötü almanızı tavsiye etmem
2844,Positive,Kolay gelsin çok sevdim
2845,Positive,yeni kullanmaya başladım.ilerleyen haftalarda etkisini yazarım
2846,Neutral,çok açık renk varla yok arası gibi fondötenle daha iyi durur belki
2847,Neutral,Nemlendirmesi çok iyi değil.
2848,Negative,İki kutu boya sığıyor boyut olarak da ideal
2849,Negative,Benim isteğimi krşılamadı. Kokusu kötü .  Dokusuda sert
2850,Negative,göründüğü kadar  büyük değil küçük kutusu sipariş verecekler için bilgi olsun
2851,Positive,indirim döneminde aldım 60 taneyi bu fiyata almak inanılmaz
2852,Positive,1yıldan fazla bu ürünü kullanıyorum dudaklarıma ve mükemmel bu ürünsüz yapamıyorum artık
2853,Positive,Uygun fiyata kaliteyi sunmuslar bizlere. Teşekkürler Dermaderm 💙
2854,Neutral,aydınlık konusunda başarılı ama pul pul dökülme oluyor bende far olarak kullanıyorum 🙂
2855,Negative,maalesef hayal kırılığı nemlendirme açısından kötü ve sivilce yaptı önermiyorum
2856,Neutral,"Cildi çok kuru olanlar için nemlendirmesi az ama cilt tarafından güzel emiliyor, kokusu yok yani parfüm kokmuyor güzel bir nemlendirici çok fazla bir şey beklememek lazım :)"
2857,Positive,çok uygun fiyata aldım .kaliteside çok güzel
2858,Negative,çok geç olsa da elime ulaştı 80b giyiyorum m tam oldu güzel
2859,Neutral,ürünu beğenmedim siyah noktalari tam anlamıyla temizlemiyor
2860,Positive,Ürün çok güzel 👍🏻 düzenli kullanıldığı zaman yüzünüzde çok iyi etki gösteriyor
2861,Negative,yıllar önce kullanmıştım ama vazgeçilmez ürünumdu.fakat bundan memnun kalmadım  kokusu kalıcı değil.
2862,Neutral,Kullanıyorum ama etkisini henüz göremedim uzun süreli kullanınca mı gösterir bilemiyorum bekleyip görcem
2863,Positive,Acayip memlun kaldım tam hayat kurtarmalık
2864,Positive,ürun hızlı geldi göründüğü şekildedir
2865,Positive,Kokusu muhteşem memnun kaldim
2866,Positive,çok beğendim kokusu efsane
2867,Negative,Şu anlık pek bir etkisini göremedim. Gerçi yeni kullanmaya başladım zamanla etkisini gösterecek mi bakacağım
2868,Positive,"Çok hızlı cevap hızlı kargo güzel ürün başarılarınızın devamını dilerim, teşekkür ederim"
2869,Negative,Normalde S bedenim yorumları okudum dar kalıp L alın diyenler vardı evet L aldım oldu ama yüksek bel ama fotoğraftaki gibi değil göbek deligimin altında kalıyor fotoda göbek deligini kapatmış fotoğraftaki gibi şık bir şey beklemeyin hatta almayın bence çok gereksiz ve basit paranıza yazık beğenmedim tavsiye etmiyorum kesinlikle
2870,Negative,Aşırı kötü kalitesi ve bir yıkamadan sonra o kadar yıprandı ki asla almayın
2871,Negative,Çok kuru sevmedim kullanamadım almayın
2872,Negative,Kesinlikle tavsiye etmiyorum sivilcelerimi daha çok çoğalttı
2873,Negative,Ürünün kalitesine göre bence fiyatı fazla. Bütün fırçaların sapları elimde kaldı ve bazılarının fırça kılları dökülme yaptı. Memnun kalamadım.
2874,Positive,Makyaj bazı olarak kullanıyorum gayet başarılı
2875,Neutral,Koku yapmıyo  güzel
2876,Negative,çok kalitesiz ama bu fiyata anca bu
2877,Positive,Çok güzel bir ürün saçıma maske yaparken bile kullanıyorum
2878,Negative,Berbat ötesi. Manikürcüyüm sakın almayın önermiyorum
2879,Neutral,Boyutlar küçük
2880,Negative,Verdiginiz paraya yazık almayın
2881,Positive,Harika ve çok kullanışlı yüksek fiyatlara hiç gerek yok yıkanırken dikkat edilirse bozulmaz.
2882,Neutral,çabuk kırılıyor
2883,Positive,doğal yoldan saç acmada çok etkili kokusuna bayildim çok iyi bı ürün 😘
2884,Neutral,Ürün göründüğü gibi bir ürün güzel alalı bir kaç gün oldu bakalım yüzümde görünür bir düzelme yok daha.
2885,Positive,Sorunsuz ürün hızlı kargo.
2886,Negative,hayatımda gördüğüm en kullanışsız eyeliner
2887,Positive,ciltle uyumlu çok güzel kapatıyor
2888,Positive,diğer markalara göre çok çok iyi rahatsız etmiyor
2889,Negative,çok kötü kumaşı tavsiye etmiyorum
2890,Neutral,2 tane almıştım yeni kullandim aşırı görmedim henuz etkisini ama tüyleri incelttigini düşünüyorum damlaligi olmaması çok kötü dökmeye çalışırken fazla gidiyor her seferinde
2891,Positive,Kokusu dokusu çok güzel. Yüzüm için güneş koruyucu olsun diye aldım fazlasıyla işimi görür.
2892,Negative,Yorumlara bakarak orjinal diye aldım ama orjinal olduğunu düşünmüyorum.
2893,Neutral,Güzel bir ürün etkisi farkediliyor
2894,Neutral,Bir işe yaramıyor..
2895,Negative,Çok sert hiç yumuşak bir yapısı yok temizliyoe fakat daha yumuşak olabilirdi. Çok bastırarak kullanmayın kıpkırmızı yapıyor.
2896,Neutral,Çok gözenekli bir cildim olmadığı için o açıdan bir farkını çok anlayamadım ancak gözkapağında farın kalıcılığını arttırdığını söyleyebilirim.
2897,Neutral,Fiyatı uygun henüz kullanmadım
2898,Neutral,beklediğim kadar güzel değil
2899,Negative,Asla önermiyorum hiç memnun kalmadım
2900,Positive,kampanyalıyken almıştık uygun fiyat
2901,Neutral,Henüz bir faydasını görmedim ama sürdükten sonra takıyor 1 hafta kullandım
2902,Neutral,Güzel paketlenmiş bir şekilde geldi ama fiyatının pek uygun olmadığını söyleyebilirim. Göründüğünden daha küçük şişe ama çok güzel bir ürün
2903,Negative,İdare eder
2904,Neutral,idare eder tahmin ettigimden biraz küçük
2905,Positive,Zaten kullandığım bir üründü.Kipriklerimi dökmüyor en önemlisi tek tek ayırıp uzatıyor. Ürünü  başarılı buluyorum :)
2906,Negative,"Güzel kirpik kaldırmıyor, uzun süre kalkık kirpik etkisi de vermiyor."
2907,Positive,En iyi başlıklar bunlar . Çok memnunum tavsiye ederim.
2908,Neutral,Düzenli kullanımda etkisi görülebilir
2909,Negative,Kısa boylular almasın bence 160 boyum m beden aldım yorumlara bakarak güzel oldu bedeni ama paça kısımları aşırı bol ben begenemedim büyük ihtimal iade edeceğim
2910,Neutral,Şampuan iyi fakat maskeden yüksek verim alamadım kıvırcık saçlı olduğum için olabilir düz saçlıysanız şans verin
2911,Neutral,idare eder
2912,Positive,hiçbir kusuru yok ürünün paketleme güzeldi
2913,Neutral,Ürün orjinal ve kaliteli kokusu hafif fakat kargoya çok geç verildi yine de belirtilen tarih aralığında ulaştı
2914,Negative,Penti kalitesi yok çok rahatsiz
2915,Neutral,Paketleme başarılı
2916,Positive,bügün elime ulastı hemen denedim hiç zor arınmıyor kesinlikle denenmesi gereken bir ürün saclarm yumusacık oldu
2917,Positive,Nud renk ve çok güzel fiyatı zaten harika
2918,Negative,3 haftada tüm yapışkanlığı gitti muşambaya döndü
2919,Negative,çok gerekli bir ürün değil.denemeye degmedi
2920,Neutral,Sivilce lekelerime iyi geldi fakat çillerde ve güneş lekelerim de etkisi olmadı 😑
2921,Positive,Çok ekonomik
2922,Negative,Kullanımı zor bir ürün tavsiye etmem
2923,Positive,Uzun zamandır severek kullanıyorum güzel kokuyor
2924,Negative,ürün hiç iyi yikamiyor hiç memnun değilim
2925,Neutral,Çok memnun kalmadım
2926,Positive,ürün  çok kaliteli sorunsuz bir sekilde elime ulasti
2927,Neutral,Aydınlık görünüm isteyenler için güzel bir ürün fakat yağlı ciltlerde çok parlama yapıyor.
2928,Negative,Çok kötü. Asla dudakları şişirmiyor. Kesinlikle tavsiye etmiyorum. Parama yazık oldu
2929,Positive,Çok uygun fiyata aldım
2930,Negative,Haftalardır kullanıyorum. Hiç bir işe yaramadı
2931,Neutral,Saçı sertleştiriyor ama dökülme azaldı .. iyi bir ürün fena değil.
2932,Neutral,Fena değil yapısını degistirmisler dha kalın sanki artık
2933,Negative,Kumaşı çok kötü hiç esnek ve toparlayıcı değil.  İade ediyorum
2934,Negative,İlk kullanımdan itibaren yüzümde yanma oldu hatta acıdı ve kaşıntı yüzüm geçer diye bekledim ama geçmedi özellikle yanaklarım kızarık oldu nedenini bilmiyorum birkaç defa denedim aralıklarla ancak hep aynı tepkiyi gösterdi hiç kullanamadım
2935,Positive,Titreşimi ve etkisi çok güzel 👍
2936,Positive,topaklanma vs asla olmadı ve pamuk gibi oluyo cildiniz günde iki defa kullanıuorum en fazla :) teşekkürler hızlı kargo için
2937,Negative,öyle denildiği gibi bir pudrası yok kanmayın sadece yağlı hissi yok
2938,Negative,Çok dar gıdılmedı
2939,Positive,Fiyatı uygun keratin bakımı yaptıranlar mutlaka almalı kokusu çok iyi paket ve kargosunda hiçbir problem yaşamadım
2940,Positive,Beklediğimden daha iyi çok kullanıslı
2941,Negative,"Selin ciğerci o kadar övdü ki alayım bakayım dedim..3.gün sonunda yüzüm sivilce doldu!!!! Prospektüs yok içinde,hangi cilt tipi nasıl kullanmalı yazmıyor bile...kesinlikle beğenmedim..cildi yağlı olanlar almasın"
2942,Positive,Ürün çok güzel beyaz tenliyim bu numara tam oldu kapatıcılığı da güzel indirimdeyken tekrar alacağım
2943,Neutral,pek siyah noktaları çıkardığı söylenemez
2944,Negative,Kalıbı düz kesim bu yüzden vücuda oturmuyor
2945,Neutral,kapatıcılık yonunde güzel  fakat  biraz kalın  kargo hızlı sekılde elime ulastı
2946,Negative,almayın ya çok ince uçlu
2947,Positive,"Harika ürün, indirim varken aldım"
2948,Negative,çok ince kaltesiz dikiş
2949,Neutral,fazla etkisi yok
2950,Positive,Güzel pratik bir ürün
2951,Neutral,Fırçası saç yoluyor ama uygun fiyatlı kurtarıcı bir ürün
2952,Negative,çok iyi sayılmaz hemen kırıldı
2953,Neutral,sac dokulmeme etkisini 1 aydir goremedim. Hala dokulme var
2954,Neutral,Kahve tonunda bir rengi var
2955,Neutral,berbat bir kokusu var çok zor dayandim bence almayın
2956,Neutral,"bu fiyata bu ürün, kapaticilik olarak çok iyi değil"
2957,Neutral,Yorumlara ve ovgulere göre aldım ama ben cildimde bir değişim görmedim. Bir daha almayı düşünmüyorum.Bu fiyata alınacak bir ürün değil bana göre
2958,Negative,Kalıbı çok dar büyük beden alın derim
2959,Negative,harika bir ton
2960,Negative,Hiçbir işe yaramıyor
2961,Negative,Kokusu güzel değil.
2962,Neutral,Herkes faydasını goruyor yani bende kullanıyorum normal şuan
2963,Neutral,Fiyatı çok uygun Fiyatına göre bayağı güzel ama yapısı yapışık ve zor kurudu
2964,Positive,"Göründüğü gibi bir ürün , herhangi bir işe yarar mı bilmiyorum ama serinliği güzel hissettiriyor"
2965,Negative,güzel alınmaya deger
2966,Positive,saçı kontrollü acıyor ve türünculastirmiyor
2967,Positive,Çok begendım özelllikle yüzüme sürdüğüm serumumla süper yumusacık yaptı
2968,Positive,"Ürünün boyu ideal. Uzun bir süre idare eder. Karma ciltliyim ve bir süredir düzenli kullanıyorum, inanılmaz büyük bir farklılık yok ama kozmetik markalarına oranla daha iyi temizlendiğini hissediyorum cildimin ve benim cildimde bir kuruluk yapmadı"
2969,Positive,Çok beğendim pamuk gibi yumuşacık yapıyo suratı
2970,Positive,harika bir kokusu var ama sprey basligi gibi olan seyi takamadim
2971,Neutral,fondoteni pompasiz satildigi icin gerekli bir ürün
2972,Negative,Mavi istedim mor geldi gerçekten tebrik ederim sizi iade ediyorum...
2973,Positive,kokusuni bilen biliyor zaten indirimden güzel fiyata aldim 😊
2974,Neutral,Gün boyu tutuyor
2975,Negative,Aşırı ince Arkadaşlar kumaş çok çok ince 36 beden değilseniz hiç tercih etmeyin kağıt gibi duruyor ve tüm vücudu belli ediyor
2976,Neutral,"yani fena değil, oyuncak bebek kokusu geliyor"
2977,Neutral,keratin şişesi akmış olarak geldi. Daha iyi paketlenebilirdi. Henüz kullanma fırsatım olmadı. İnşallah bari ürün konusunda memnun kalırım...
2978,Neutral,ürünu 3. kez kullandim. yaglanmayi geciktiriyor ve gercekten tertemiz yapiyor ancak saclarim tel tel oldu uclarina dogru kuruttugu icin sıkıntı yasiyorum bir daha almam sanirim
2979,Positive,Çok rahat ve geçirmiyor
2980,Neutral,kullanmaya devam ediyorum umarım faydasını görürüm. 
2981,Neutral,Saçı temizleme kısmını sevdim
2982,Positive,ya muhteşeemmm cildim pamuk gibi oldu❣️çok çok teşekkür ederim ♥️ boyutu ideal ve titreşimi harika 😍
2983,Negative,Giydiğim gibi askısı koptu :(
2984,Neutral,fiyatına göre çok ucuz
2985,Neutral,Yorumlara aldanarak sipariş verdim güzel kokusu var ama ağır geldi bana allahtan kış mevsimindeyiz yoksa bayardı
2986,Positive,fiyatı en uygun buradaydı sorunsuz bir şekilde elime ulaştı. gerçekten işe yarayan bir ürün ilk kullanımda bile fark ediyorsun
2987,Negative,Asla tavsiye etmiyorum. Göründüğü gibi durmuyor. Bedenimi almama rağmen en az 2 beden dardı. Hiç kullanılamadı maalesef.
2988,Positive,Çok güzel işlevi diger markalı foreolar halt etmiş yanında
2989,Neutral,Yorumlara bakıp çiçeksi koku sanıp almıştım ama şekerli bir koku çıktı ben sevemiyorum şekerli kokuları sevmediğim halde beni çokda baymadı kokusu fena değil tam bir gençlik kokusu denilebilinir güzel paketlenmişti kargo hızlı ulaştı teşekkürler
2990,Neutral,Yoğunluk çok güzel mıknatıs düşmüş birinin iade etmek istemedim
2991,Neutral,Cildiniz nemli kalmasını seviyorsanız doğru krem değil
2992,Negative,Ben yorumları bakıp aldım hiç rahat değil toz tutuyor sadece yüksel bel olması iyi abartılacak bir pantolon değil
2993,Neutral,aşırı küçük ama kokusu güzel kalıcı
2994,Neutral,rengi tam istedigim
2995,Neutral,biraz benim için fazla koyu gelmiş olabilir ama yine de çok iyi
2996,Negative,Kırışıklara tabiki iyi gelmiyor ama nemlendiriyor yüzü
2997,Negative,sorunsuz geldi ama başka markanın bir kirpik kıvırıcısı
2998,Positive,Kullandığınız anda cildinizde o ferahlığı hissedeceksiniz😉
2999,Positive,sağlık açısından iyi bir ürün
3000,Neutral,Pek sevemedim
